"1";"5";"1";"21";"5";"6";"1";"69";"1";"4";"1";"192.11";"25.19";"3";"15";"13";"6";"11";"2021"
"2";"4";"2";"7";"5";"26";"2";"61";"2";"5";"2";"343.36";"33.48";"10";"11";"15";"1";"11";"2021"
"3";"1";"2";"10";"1";"27";"2";"29";"2";"5";"2";"376.74";"36.9";"7";"16";"16";"2";"11";"2021"
"4";"8";"2";"22";"4";"13";"2";"87";"2";"5";"2";"481.65";"28.59";"10";"17";"3";"6";"7";"2021"
"5";"8";"3";"22";"4";"14";"3";"78";"3";"4";"3";"490.91";"32.54";"6";"17";"11";"3";"8";"2021"
"6";"10";"3";"3";"2";"19";"3";"42";"3";"4";"3";"23.13";"64.73";"10";"11";"4";"4";"11";"2021"
"7";"2";"3";"18";"5";"28";"3";"82";"3";"3";"3";"71.94";"63.65";"3";"16";"16";"4";"9";"2021"
"8";"4";"4";"13";"2";"13";"4";"53";"4";"2";"4";"257.67";"23.76";"10";"12";"26";"5";"11";"2021"
"9";"2";"5";"3";"2";"10";"5";"16";"5";"2";"5";"133.27";"61.32";"2";"17";"30";"4";"9";"2021"
"10";"5";"6";"12";"4";"12";"6";"70";"6";"5";"6";"121.71";"46.32";"3";"18";"28";"7";"11";"2021"
"11";"6";"6";"14";"2";"26";"6";"44";"6";"3";"6";"88.63";"5.21";"9";"11";"30";"4";"9";"2021"
"12";"2";"6";"6";"4";"18";"6";"1";"6";"1";"6";"189.59";"45.29";"5";"14";"12";"7";"9";"2021"
"13";"8";"7";"13";"2";"27";"7";"57";"7";"5";"7";"446.61";"65.6";"4";"12";"7";"7";"11";"2021"
"14";"7";"8";"11";"5";"10";"8";"18";"8";"1";"8";"68.43";"65.47";"6";"16";"14";"7";"11";"2021"
"15";"1";"8";"17";"1";"9";"8";"85";"8";"4";"8";"106.37";"51.76";"2";"16";"11";"1";"10";"2021"
"16";"6";"8";"6";"4";"19";"8";"72";"8";"3";"8";"339.61";"55.9";"8";"10";"20";"2";"7";"2021"
"17";"10";"9";"13";"2";"14";"9";"97";"9";"1";"9";"479.77";"61.13";"7";"10";"27";"5";"8";"2021"
"18";"6";"9";"21";"5";"5";"9";"81";"9";"1";"9";"392.6";"8.31";"8";"10";"20";"2";"7";"2021"
"19";"1";"10";"8";"2";"23";"10";"6";"10";"1";"10";"301.16";"43.8";"7";"12";"8";"7";"8";"2021"
"20";"9";"10";"1";"1";"22";"10";"43";"10";"3";"10";"285.14";"50.63";"10";"11";"25";"7";"7";"2021"
"21";"2";"11";"12";"4";"26";"11";"87";"11";"3";"11";"246.32";"46.72";"6";"14";"11";"4";"11";"2021"
"22";"6";"11";"5";"2";"30";"11";"68";"11";"3";"11";"155.99";"17.1";"3";"12";"8";"1";"11";"2021"
"23";"10";"12";"13";"2";"24";"12";"87";"12";"5";"12";"148.29";"16.42";"6";"13";"7";"4";"10";"2021"
"24";"6";"13";"13";"2";"23";"13";"58";"13";"4";"13";"202.67";"0.2";"6";"19";"7";"4";"10";"2021"
"25";"7";"13";"8";"2";"16";"13";"99";"13";"5";"13";"189.2";"48.53";"9";"19";"29";"5";"10";"2021"
"26";"3";"13";"12";"4";"22";"13";"91";"13";"4";"13";"192.2";"46.21";"7";"15";"6";"3";"10";"2021"
"27";"5";"14";"15";"3";"18";"14";"48";"14";"3";"14";"214.72";"29.3";"9";"10";"27";"3";"10";"2021"
"28";"4";"15";"19";"5";"15";"15";"29";"15";"1";"15";"411.1";"65.79";"9";"16";"25";"6";"9";"2021"
"29";"5";"15";"3";"2";"4";"15";"59";"15";"1";"15";"4.28";"21.35";"7";"18";"18";"1";"10";"2021"
"30";"4";"16";"11";"5";"26";"16";"78";"16";"3";"16";"390.33";"7.8";"10";"14";"24";"2";"8";"2021"
"31";"1";"16";"2";"4";"5";"16";"24";"16";"1";"16";"99.45";"6.37";"1";"16";"25";"3";"8";"2021"
"32";"10";"17";"14";"2";"29";"17";"47";"17";"2";"17";"384.79";"2.4";"5";"17";"21";"2";"12";"2021"
"33";"1";"17";"21";"5";"7";"17";"40";"17";"2";"17";"349.6";"44.37";"2";"18";"6";"6";"11";"2021"
"34";"8";"18";"5";"2";"19";"18";"41";"18";"1";"18";"425.52";"13.49";"10";"16";"4";"6";"12";"2021"
"35";"1";"18";"10";"1";"17";"18";"27";"18";"2";"18";"464.87";"36.51";"1";"13";"20";"3";"10";"2021"
"36";"2";"19";"4";"3";"21";"19";"23";"19";"1";"19";"207.3";"67.34";"7";"11";"22";"3";"9";"2021"
"37";"6";"20";"20";"5";"23";"20";"27";"20";"2";"20";"444.79";"34.68";"2";"12";"15";"7";"8";"2021"
"38";"1";"20";"7";"5";"12";"20";"36";"20";"1";"20";"147.59";"0.52";"7";"16";"26";"7";"12";"2021"
"39";"9";"20";"15";"3";"1";"20";"10";"20";"3";"20";"492.86";"44.34";"6";"12";"7";"6";"8";"2021"
"40";"2";"21";"12";"4";"17";"21";"37";"21";"5";"21";"454.75";"62.39";"7";"17";"4";"1";"10";"2021"
"41";"5";"22";"12";"4";"16";"22";"31";"22";"5";"22";"292.9";"57.1";"4";"18";"20";"1";"12";"2021"
"42";"2";"22";"8";"2";"30";"22";"62";"22";"3";"22";"212.98";"40.43";"4";"13";"20";"5";"8";"2021"
"43";"8";"23";"11";"5";"10";"23";"33";"23";"4";"23";"427.41";"47.48";"10";"11";"10";"5";"12";"2021"
"44";"5";"23";"3";"2";"18";"23";"73";"23";"5";"23";"475.57";"50.25";"5";"10";"22";"5";"10";"2021"
"45";"1";"23";"18";"5";"18";"23";"90";"23";"3";"23";"497.32";"67.23";"9";"18";"12";"4";"8";"2021"
"46";"1";"24";"18";"5";"8";"24";"94";"24";"4";"24";"360.31";"49.94";"2";"19";"25";"3";"8";"2021"
"47";"4";"24";"2";"4";"8";"24";"57";"24";"4";"24";"435.49";"39.8";"6";"17";"17";"6";"7";"2021"
"48";"4";"24";"10";"1";"17";"24";"76";"24";"1";"24";"155.82";"25.71";"6";"15";"26";"7";"12";"2021"
"49";"9";"25";"5";"2";"28";"25";"75";"25";"2";"25";"410.57";"63.36";"7";"17";"4";"6";"12";"2021"
"50";"8";"25";"21";"5";"26";"25";"38";"25";"5";"25";"289.46";"66.24";"7";"17";"13";"1";"9";"2021"
"51";"3";"26";"13";"2";"18";"26";"93";"26";"1";"26";"42.67";"55.66";"2";"14";"26";"7";"12";"2021"
